severity,peop_in_car,exp,city,highway,gender,speed,op_way,give_way,red_light,bad_grip,bad_visibility,houses,yard_exit,r_roadcross,nr_roadcross,bridge,industry,mall,rwd,awd,fwd,weight,power,vehicle_age,month,d_week,time_of_day,distance,medium,spacious,heavy,small
1,1,43,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,7000,480,9,10,3,3,214.49484337969895,0,1,0,0
2,1,37,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1500,100,14,10,3,3,214.49484337969895,0,1,0,0
1,1,33,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1300,80,1,8,3,5,192.8952910513687,1,0,0,0
1,1,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1000,80,11,7,3,0,192.89334233096488,1,0,0,0
1,1,9,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,950,75,27,0,2,2,182.53283795510777,1,0,0,0
1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1400,150,19,11,4,3,169.12346444177453,1,0,0,0
1,1,14,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1300,100,17,0,2,5,191.4410851537096,1,0,0,0
1,1,57,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1300,80,19,9,2,3,192.3028988359606,1,0,0,0
2,1,6,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1200,100,20,8,3,5,186.07537955134805,1,0,0,0
1,1,11,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1100,75,4,8,3,5,186.07537955134805,1,0,0,0
1,1,30,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,900,60,14,7,2,2,193.15329015421443,1,0,0,0
2,3,7,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1700,200,6,10,1,3,198.6398887388696,1,0,0,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1300,100,15,4,5,2,191.7806143963361,1,0,0,0
2,2,17,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1200,100,19,0,4,4,219.0205944465589,1,0,0,0
1,1,14,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1600,80,29,0,4,4,219.0205944465589,1,0,0,0
1,1,34,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2500,100,7,0,4,4,219.0205944465589,0,1,0,0
0,2,51,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1400,80,17,1,0,4,182.6815921237824,1,0,0,0
1,1,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1300,110,7,6,1,3,171.84651027608723,1,0,0,0
0,2,17,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1300,100,17,8,3,2,192.34758855143025,1,0,0,0
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1200,90,9,8,3,2,192.34758855143025,1,0,0,0
1,1,17,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1600,200,14,9,0,5,55.48264935743232,1,0,0,0
2,3,5,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1200,75,15,9,0,5,55.48264935743232,1,0,0,0
1,1,23,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1200,100,11,6,0,7,62.779942072508575,1,0,0,0
1,1,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1300,100,16,7,4,4,59.04619394926608,1,0,0,0
2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2500,100,11,4,3,5,74.71957871527755,0,1,0,0
1,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1200,75,14,6,3,4,58.35675332171672,1,0,0,0
0,1,19,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1400,140,5,10,4,6,59.18550051259738,1,0,0,0
0,2,22,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1300,120,8,10,4,6,59.18550051259738,1,0,0,0
0,1,4,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1100,75,2,3,0,3,59.55347303331437,1,0,0,0
1,1,25,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1300,122,5,3,0,3,59.55347303331437,1,0,0,0
1,1,10,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1600,200,18,3,4,7,55.557834611463605,1,0,0,0
1,1,23,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1400,150,9,5,4,3,59.20208662341071,1,0,0,0
0,1,20,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1300,120,19,7,4,7,59.32171696167967,1,0,0,0
1,1,13,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,200,15,11,7,4,7,59.32171696167967,0,0,0,1
0,1,10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1100,85,15,7,1,4,58.79373038521702,1,0,0,0
0,2,21,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,8000,250,7,7,1,4,58.79373038521702,0,0,1,0
1,1,29,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1500,150,18,7,0,5,58.24768057444512,0,0,0,1
1,1,7,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1400,150,17,10,2,7,59.20281445697128,1,0,0,0
1,1,28,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1600,200,16,6,0,3,58.48650902954107,1,0,0,0
0,1,24,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1200,90,8,10,6,4,59.17880128078464,1,0,0,0
1,1,7,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1600,200,25,6,5,5,61.35902464852335,1,0,0,0
0,1,8,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1200,75,5,2,4,4,58.88574396769678,1,0,0,0
1,1,36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1500,150,11,7,4,6,61.5770031271213,1,0,0,0
1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1500,130,26,7,1,6,59.38956081479444,1,0,0,0
1,1,22,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,2000,150,16,4,6,4,59.20131480390815,1,0,0,0
0,1,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1200,90,17,5,1,6,59.221877004999065,1,0,0,0
1,1,7,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1500,150,11,6,4,4,57.84755322642001,1,0,0,0
1,1,26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1800,150,25,5,4,4,59.55445445611398,1,0,0,0
1,1,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1400,110,8,2,0,6,59.55680825437744,1,0,0,0
1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1300,100,21,8,6,6,58.426460634896486,1,0,0,0
2,1,28,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1300,150,9,0,3,6,59.32009555137083,1,0,0,0
0,4,11,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1400,120,17,2,0,1,57.3943928354199,1,0,0,0
0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1450,150,32,5,1,7,60.42478127444219,1,0,0,0
1,1,27,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,200,150,17,5,1,7,60.42478127444219,0,0,0,1
2,1,6,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1200,90,19,3,5,4,64.72275200209373,1,0,0,0
1,1,14,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1500,100,40,3,5,4,64.72275200209373,0,1,0,0
